crime nox
0.00632 0.537999988
0.027310001 0.469000012
0.02729 0.469000012
0.032370001 0.458000004
0.069049999 0.458000004
0.02985 0.458000004
0.088289999 0.523999989
0.144549996 0.523999989
0.211239994 0.523999989
0.170039997 0.523999989
0.224889994 0.523999989
0.117470004 0.523999989
0.093780004 0.523999989
0.629760027 0.537999988
0.637960017 0.537999988
0.627390027 0.537999988
0.784200013 0.537999988
0.802709997 0.537999988
0.725799978 0.537999988
0.852039993 0.537999988
0.988430023 0.537999988
0.750259995 0.537999988
0.840539992 0.537999988
0.671909988 0.537999988
0.955770016 0.537999988
0.772989988 0.537999988
0.064170003 0.499000013
0.097439997 0.499000013
0.080140002 0.499000013
0.175050005 0.499000013
0.027629999 0.428000003
0.03359 0.428000003
0.127440006 0.448000014
0.141499996 0.448000014
0.159360006 0.448000014
0.12269 0.448000014
0.171419993 0.448000014
0.188360006 0.448000014
0.229269996 0.448000014
0.25387001 0.448000014
0.219769999 0.448000014
0.08873 0.43900001
0.043370001 0.43900001
0.053599998 0.43900001
0.04981 0.43900001
0.0136 0.409999996
0.01311 0.402999997
0.02055 0.409999996
0.01432 0.411000013
0.154449999 0.453000009
0.10328 0.453000009
0.149320006 0.453000009
0.171709999 0.453000009
0.110270001 0.453000009
0.126499996 0.453000009
0.019509999 0.416099995
0.035840001 0.398000002
0.043790001 0.398000002
0.057890002 0.409000009
0.135539994 0.409000009
0.12816 0.409000009
0.088260002 0.412999988
0.158759996 0.412999988
0.091640003 0.412999988
0.195390001 0.412999988
0.078960002 0.437000006
0.095119998 0.437000006
0.101530001 0.437000006
0.087070003 0.437000006
0.056460001 0.437000006
0.083870001 0.437000006
0.041129999 0.425999999
0.04462 0.425999999
0.036589999 0.425999999
0.03551 0.425999999
0.050590001 0.449000001
0.057349999 0.449000001
0.051879998 0.449000001
0.071510002 0.449000001
0.056600001 0.488999993
0.053020001 0.488999993
0.046840001 0.488999993
0.03932 0.488999993
0.042029999 0.463999987
0.02875 0.463999987
0.042939998 0.463999987
0.122040004 0.444999993
0.115039997 0.444999993
0.120829999 0.444999993
0.081869997 0.444999993
0.068599999 0.444999993
0.148660004 0.519999981
0.114320002 0.519999981
0.228760004 0.519999981
0.211610004 0.519999981
0.139599994 0.519999981
0.132620007 0.519999981
0.171200007 0.519999981
0.131170005 0.519999981
0.128020003 0.519999981
0.263630003 0.519999981
0.107929997 0.519999981
0.100840002 0.546999991
0.123290002 0.546999991
0.222120002 0.546999991
0.142309994 0.546999991
0.171340004 0.546999991
0.131579995 0.546999991
0.150979996 0.546999991
0.130579993 0.546999991
0.144759998 0.546999991
0.06899 0.58099997
0.071649998 0.58099997
0.092990004 0.58099997
0.15038 0.58099997
0.09849 0.58099997
0.169019997 0.58099997
0.387349993 0.58099997
0.259149998 0.624000013
0.325430006 0.624000013
0.881250024 0.624000013
0.340059996 0.624000013
0.590049982 0.624000013
0.329820007 0.624000013
0.976170003 0.624000013
0.557780027 0.624000013
0.322640002 0.624000013
0.352329999 0.624000013
0.249799997 0.624000013
0.54452002 0.624000013
0.290899992 0.624000013
0.139139995 0.50999999
0.091779999 0.50999999
0.084469996 0.50999999
0.066639997 0.50999999
0.070220001 0.50999999
0.054249998 0.50999999
0.066419996 0.50999999
0.057799999 0.488000005
0.065880001 0.488000005
0.068879999 0.488000005
0.091030002 0.488000005
0.100079998 0.488000005
0.083080001 0.488000005
0.06047 0.488000005
0.056019999 0.488000005
0.078749999 0.437000006
0.12579 0.437000006
0.083700001 0.437000006
0.090680003 0.437000006
0.069109999 0.437000006
0.08664 0.437000006
0.02187 0.400999993
0.01439 0.400999993
0.01381 0.421999991
0.04011 0.404000014
0.046659999 0.404000014
0.03768 0.404000014
0.031500001 0.402999997
0.01778 0.402999997
0.034449998 0.414999992
0.02177 0.414999992
0.035100002 0.416099995
0.020090001 0.416099995
0.136419997 0.488999993
0.22969 0.488999993
0.25198999 0.488999993
0.135869995 0.488999993
0.435710013 0.488999993
0.174459994 0.488999993
0.375779986 0.488999993
0.217189997 0.488999993
0.140520006 0.488999993
0.289550006 0.488999993
0.198019996 0.488999993
0.045600001 0.550000012
0.070129998 0.550000012
0.110689998 0.550000012
0.114249997 0.550000012
0.358090013 0.507000029
0.407709986 0.507000029
0.623560011 0.507000029
0.614700019 0.507000029
0.315329999 0.504000008
0.526929975 0.504000008
0.382140011 0.504000008
0.41238001 0.504000008
0.298189998 0.504000008
0.441780001 0.504000008
0.537 0.504000008
0.462960005 0.504000008
0.575290024 0.507000029
0.331470013 0.507000029
0.447910011 0.507000029
0.330449998 0.507000029
0.520579994 0.507000029
0.511829972 0.507000029
0.082439996 0.428000003
0.092519999 0.428000003
0.113289997 0.428000003
0.106119998 0.428000003
0.102899998 0.428000003
0.127570003 0.428000003
0.206080005 0.430999994
0.191330001 0.430999994
0.339830011 0.430999994
0.196569994 0.430999994
0.164389998 0.430999994
0.190730006 0.430999994
0.140300006 0.430999994
0.214090005 0.430999994
0.082209997 0.430999994
0.368939996 0.430999994
0.048190001 0.39199999
0.03548 0.39199999
0.01538 0.393999994
0.61154002 0.647000015
0.663510025 0.647000015
0.656650007 0.647000015
0.540109992 0.647000015
0.534120023 0.647000015
0.520139992 0.647000015
0.825259984 0.647000015
0.550069988 0.647000015
0.761619985 0.647000015
0.785700023 0.647000015
0.578339994 0.574999988
0.540499985 0.574999988
0.09065 0.463999987
0.299160004 0.463999987
0.162110001 0.463999987
0.114600003 0.463999987
0.221880004 0.463999987
0.05644 0.446999997
0.096040003 0.446999997
0.10469 0.446999997
0.061269999 0.446999997
0.079779998 0.446999997
0.210380003 0.442900002
0.035780001 0.442900002
0.037050001 0.442900002
0.06129 0.442900002
0.01501 0.400999993
0.00906 0.400000006
0.01096 0.388999999
0.019649999 0.38499999
0.038710002 0.405000001
0.045899998 0.405000001
0.042970002 0.405000001
